Gene_Name,CTRL_0,CTRL_1,CTRL_2,P4_0,P4_1,P4_2,IL1B_0,IL1B_1,IL1B_2,FSK_0,FSK_1,FSK_2,FSK_P4_0,FSK_P4_1,FSK_P4_2,P4_IL1B_0,P4_IL1B_1,P4_IL1B_2,FSK_IL1B_0,FSK_IL1B_1,FSK_IL1B_2,FSK_P4_IL1B_0,FSK_P4_IL1B_1,FSK_P4_IL1B_2
SPSB1,20.4417,21.1952,19.5355,17.1043,15.6443,15.2028,24.3375,25.866,27.4329,13.4187,13.4863,13.4668,14.7043,15.327,14.6542,19.5779,19.3723,17.72,16.6437,15.6334,16.0916,18.5655,18.1367,16.0543
SPSB2,8.01379,9.75607,17.0135,9.69671,10.865,21.3394,8.85865,7.68734,10.833,9.64597,10.4165,14.557,10.5922,11.0276,11.4419,7.97313,10.8924,11.8229,9.33053,8.87474,10.6805,9.74401,12.2513,16.5831
SPSB3,23.6615,22.3603,43.3436,24.5637,23.8678,41.654,24.6918,24.9083,33.9743,33.0359,29.1328,33.4894,28.1051,29.8103,25.0492,25.5477,24.7334,27.6387,28.9811,25.9359,35.3863,28.8882,32.4592,44.544
SPTA1,0.0141615,0.00255137,0.00268328,0.00245665,0.00570819,0,0.0095167,0.00320652,0.0129596,0.0181297,0.0235479,0.0228131,0.0232407,0.0127937,0.0316022,0.0105832,0.00338793,0.0115617,0.00320085,0.0074279,0.0072029,0.00597058,0.019308,0.0121644
SPTAN1,90.6999,103.704,103.485,93.5139,116.619,121.49,78.4463,93.2527,87.3009,119.749,122.829,145.088,145.382,153.44,142.745,90.9305,96.4581,107.297,111.123,123.006,126.292,117.481,161.456,146.73
SPTB,0.607426,0.760596,1.04538,0.783541,0.88398,1.29949,0.377966,0.389205,0.399482,0.327664,0.320765,0.410899,0.34589,0.350893,0.369035,0.526881,0.470014,0.53078,0.349574,0.195422,0.375941,0.275798,0.486527,0.366498
SPTBN1,120.118,133.722,114.946,120.795,141.137,125.746,116.024,129.792,122.98,119.698,126.093,133.327,125.598,131.946,129.39,112.213,119.725,127.529,125.032,131.243,134.522,116.791,136.872,116.925
SPTBN2,1.79858,2.07224,2.98675,1.63103,2.1319,2.78179,1.63092,1.85312,2.22731,1.42506,1.31117,1.83783,1.26332,1.39733,1.46259,1.4337,1.59834,1.77091,1.15278,1.40907,1.47933,1.13262,1.62852,1.68453
SPTBN4,0.0370362,0.125705,0.077841,0.0911639,0.0526933,0.143799,0.0403314,0.0744808,0.0512312,0.0392395,0.0411108,0.060336,0.0871208,0.0267426,0.0433673,0.0452395,0.0726888,0.0479082,0.063762,0.0639615,0.0650304,0.0715064,0.0267461,0.0697287
SPTBN5,0.873194,0.816021,1.40829,0.631306,0.746836,1.20043,1.00101,1.00153,1.48332,0.783551,0.826876,1.04543,0.706272,0.691758,0.719618,0.722834,0.712846,0.953854,0.990096,0.838307,1.13278,0.668813,0.952273,1.26009
