Gene_Name,CTRL_0,CTRL_1,CTRL_2,P4_0,P4_1,P4_2,IL1B_0,IL1B_1,IL1B_2,FSK_0,FSK_1,FSK_2,FSK_P4_0,FSK_P4_1,FSK_P4_2,P4_IL1B_0,P4_IL1B_1,P4_IL1B_2,FSK_IL1B_0,FSK_IL1B_1,FSK_IL1B_2,FSK_P4_IL1B_0,FSK_P4_IL1B_1,FSK_P4_IL1B_2
A1BG,2.52497,2.92276,5.01073,3.16419,2.71334,5.36739,2.33808,2.38502,3.94463,2.44147,2.3198,3.48389,2.13187,2.93496,3.24471,3.23895,3.00933,3.43936,3.16513,2.15802,2.98624,2.93674,2.98479,4.386
A1BG-AS1,4.1488,3.50947,7.47649,4.14339,3.41053,6.75513,4.87629,4.48617,4.97853,4.98343,2.49007,5.14831,5.04557,3.67438,5.0935,4.18229,4.11539,4.47968,4.43627,3.72012,5.2086,3.99934,4.80879,5.46452
A1CF,0.0331089,0.0269543,0.00621225,0.00863553,0.0124027,0.0110578,0.0258014,0.0170836,0.0100122,0.0184943,0.0333169,0.0281688,0.0103142,0.0215766,0.0431993,0.0218107,0.0356615,0.0148426,0.0572948,0.0106632,0.0150373,0.0321821,0.0214716,0.0204238
A2MP1,1.29784,1.41214,1.02856,0.488114,0.900081,0.711453,2.80147,3.03805,2.70433,2.47572,2.78657,3.06804,1.91382,1.48927,2.12345,1.81813,1.10784,2.30691,3.01598,3.92893,3.52655,2.41083,2.39248,2.26227
A4GALT,0.590885,0.49905,1.00221,1.14739,1.36942,2.11442,0.94984,0.988493,1.42187,0.988364,1.23293,1.08848,1.84953,1.66125,1.69496,1.7709,1.92107,2.28595,1.23402,1.06084,1.75997,1.47292,2.35629,3.45899
A4GNT,0.0306302,0.0780658,0,0.0861881,0.0594792,0.0327546,0.0505773,0.0141646,0.0607407,0.124763,0.0991396,0.0643212,0.0954181,0.0944965,0.251511,0.0409914,0.118598,0.0656611,0.096586,0.0322086,0.0508843,0.0775665,0.0809493,0.228025
AAAS,35.0045,31.6158,45.6173,32.0956,32.1725,44.0272,30.4624,30.5788,35.7008,35.3961,30.0189,37.587,32.8309,32.1015,33.5964,30.2107,30.3027,31.7614,31.4012,27.7095,35.9559,30.4795,32.3229,38.3612
AACS,17.9249,17.4116,23.082,19.6049,20.8307,24.8373,18.9379,19.4835,22.5931,19.4883,19.4375,21.6429,20.8788,21.1375,19.5314,19.4794,18.6541,20.8852,19.8919,17.5356,20.5689,19.4232,22.8411,22.4988
AADAC,0.832899,0.720886,0.522515,0.351493,0.373269,0.25064,0.590341,1.03724,0.393327,0.36817,0.430132,0.24,0.145965,0.210709,0.201913,0.83132,0.52604,0.659048,0.377015,0.444078,0.373816,0.230533,0.371652,0.186397
AADAT,7.35562,8.87236,5.16334,7.71195,7.53241,5.25866,5.81608,6.86912,5.65558,7.26437,7.93675,6.68601,6.48881,6.80381,7.36726,6.74141,7.08619,6.58587,6.1083,7.09597,5.37989,6.13919,6.25638,4.80051
AAED1,20.6474,21.7888,17.8149,21.9807,22.2749,16.1202,19.814,19.7502,17.9589,12.5721,13.1425,10.614,13.7812,16.171,16.0457,19.3556,23.6602,18.8145,12.5116,13.3999,11.2582,19.5009,17.8284,14.685
AAGAB,28.6863,27.3492,19.1336,28.8657,27.3105,18.3215,29.7332,28.506,24.2441,28.2807,28.3014,23.1897,29.2264,25.8525,28.1332,31.9061,29.3637,26.3953,28.8401,28.6433,24.685,29.5018,24.9266,20.8491
AAK1,3.36045,2.73947,1.48641,1.84507,1.98154,1.41745,2.13831,2.09244,1.91082,2.82501,2.29159,2.5916,3.32926,2.16202,2.87307,1.98783,1.98904,1.98096,2.74377,3.13105,2.4476,2.1793,2.13358,1.75475
AAMDC,25.8334,35.9498,32.227,32.9912,41.077,39.2309,27.5586,29.351,26.4273,35.5418,43.9732,39.5957,46.1855,42.2942,39.452,31.6131,34.8016,36.4258,35.8203,43.2661,40.1465,36.9223,46.0925,44.962
AAMP,72.2729,80.1456,124.947,78.3134,91.5654,130.018,83.158,90.2272,112.418,76.4663,78.9489,95.7889,79.7847,91.6235,88.8994,77.3307,84.8283,101.733,75.7004,67.8849,93.5027,75.167,93.5766,113.889
AAR2,30.0973,28.989,36.0139,30.7686,30.3268,37.1581,32.7642,32.5263,34.2732,33.03,27.7043,33.4873,33.8967,30.9982,32.4442,31.9584,30.021,34.6711,29.244,25.2026,34.916,30.6103,32.6931,37.3897
AARS,63.6648,69.5939,83.8477,57.1678,65.5771,76.1442,77.0679,89.9107,92.1194,92.6715,97.6242,112.124,79.2381,79.8712,75.7946,72.8194,76.4115,84.4233,93.6925,98.6681,111.758,76.0455,87.6248,90.2897
AARS2,10.2739,10.7277,15.3353,11.1441,12.4822,16.037,9.461,10.686,11.723,10.195,9.7673,12.8705,10.4003,10.6013,10.97,9.79179,11.1649,12.2207,9.30288,8.42238,11.114,9.2238,10.4311,13.2333
AARSD1,19.3793,22.2298,27.4195,22.2732,24.9962,28.1057,20.2099,21.5557,23.2707,16.2715,18.3429,17.4115,18.0144,19.694,18.4551,20.0359,22.3932,21.9055,15.9524,17.5956,17.1869,16.9847,17.9151,18.8453
AASDH,3.17513,3.08723,1.84888,3.55139,3.16208,2.38022,2.97761,2.66697,2.50638,4.02809,3.90702,3.6033,4.41781,3.98369,4.11534,3.42067,3.56278,3.15499,3.59054,3.76861,3.37324,3.87554,3.86591,3.20877
AASDHPPT,28.8606,28.6894,16.5524,27.1334,26.2315,15.8431,25.6517,27.4047,20.0948,31.2579,34.1525,20.6256,26.8921,28.9079,27.3656,28.4893,27.5783,22.3862,30.8809,34.5373,22.4821,29.0396,26.376,17.5024
AASS,5.41485,5.23382,3.31056,5.23081,5.55419,2.97073,5.90156,6.69833,4.91509,9.3254,10.1599,7.86451,9.19047,8.82874,9.41977,6.69267,6.74144,5.6091,9.96691,11.6631,8.22481,8.85027,8.74106,5.90996
AATF,52.4255,71.0682,68.0029,57.6592,69.265,69.6543,55.4217,71.0746,68.0542,42.4108,58.2733,58.0294,50.5104,62.817,57.9722,51.6112,65.9356,70.0238,45.0694,49.6499,52.2175,45.8429,59.3365,54.8595
AATK,0.107792,0.22502,0.271972,0.10344,0.174155,0.375984,0.0760134,0.162954,0.174573,0.0902697,0.116021,0.268376,0.150012,0.14502,0.194099,0.16882,0.217362,0.160787,0.133386,0.155375,0.109879,0.230245,0.241648,0.307433
ABAT,0.0958574,0.0546847,0.0749962,0.317711,0.361979,0.18714,0.312001,0.228335,0.209946,0.280292,0.246389,0.197062,0.560094,0.47545,0.397898,0.981186,1.01667,1.18031,0.403091,0.514333,0.495366,0.72129,0.707704,0.691666
ABCA1,9.1419,8.06183,6.35189,4.55143,4.11657,3.72849,10.5408,9.81636,9.41368,9.21114,8.63346,8.38279,6.29007,5.82881,6.44873,5.05813,4.79656,4.90766,10.9192,10.8665,10.7437,6.3554,7.03714,6.2723
ABCA10,0.18526,0.153808,0.0789532,0.0974121,0.0787932,0.0471335,0.197817,0.163429,0.110566,0.109115,0.172164,0.115155,0.0897476,0.115325,0.152016,0.16301,0.19343,0.149537,0.150393,0.228845,0.126255,0.121659,0.175222,0.103867
ABCA11P,4.55714,5.41253,4.02889,4.66965,5.71192,4.2744,4.92404,5.55929,4.85331,5.15795,6.32837,5.24718,4.90287,4.9983,5.38184,5.25798,6.74716,5.81194,5.59746,6.06525,5.28225,5.24107,4.90526,4.04541
ABCA12,0.0131675,0.00958938,0.0131504,0.0109617,0.00897031,0.0078278,0.0337967,0.0260363,0.036536,0.021688,0.0123352,0.0284508,0.00771788,0.0114454,0.0154383,0.014642,0.0456479,0.0326585,0.0165356,0.0226435,0.0291729,0.031075,0.0220829,0.0112652
ABCA13,0.675696,0.560483,0.353448,0.676806,0.629258,0.44311,0.634799,0.618368,0.502242,0.449429,0.42229,0.318276,0.431473,0.405669,0.457223,0.543901,0.500975,0.504049,0.418326,0.535938,0.377541,0.460375,0.455781,0.334073
ABCA17P,0.0696345,0.0214021,0.0453957,0.0726577,0.0457086,0.0610494,0.0513718,0.0206867,0.0471907,0.123479,0.0717926,0.121259,0.0661391,0.0580788,0.0541755,0.0266218,0.0278,0.0708615,0.0528112,0.0429624,0.0577746,0.0294874,0.0332383,0.015042
ABCA2,6.59291,6.32338,9.37865,5.91371,6.22172,9.14447,5.60166,5.1517,7.23082,6.96975,5.91551,8.07024,6.7511,6.44657,6.08843,5.99807,6.30348,6.21331,6.43184,5.7833,7.30996,6.39567,8.03279,8.88547
ABCA3,0.565674,0.624895,0.905762,0.630044,0.472991,1.02172,0.472914,0.546547,0.774605,0.802662,0.699183,0.944077,1.1009,0.828623,0.993233,0.727243,0.717055,0.680182,0.70383,0.65162,1.05189,0.780075,1.06669,1.24071
ABCA4,0.0612276,0.0577651,0.0488819,0.0619192,0.0448634,0.0636424,0.0748782,0.0532894,0.0349077,0.0487217,0.0211802,0.0320004,0.102565,0.0755096,0.109388,0.039383,0.0766434,0.0302847,0.0347733,0.0186273,0.0778953,0.0597242,0.0760402,0.0840558
ABCA5,2.05408,1.98107,0.993027,2.00588,2.06863,0.970564,2.74807,2.73623,1.75399,3.12129,3.199,1.91984,2.80245,2.36514,2.6272,3.91719,3.57421,2.61755,3.54251,4.62313,2.81553,3.78645,3.17698,2.14419
ABCA6,0.227809,0.186198,0.119189,1.13381,1.00926,0.596803,0.123918,0.11519,0.072427,0.419625,0.462006,0.352792,4.2818,3.58905,4.55963,1.12126,0.851626,0.748882,0.285264,0.339247,0.243757,3.61179,3.50717,3.1992
ABCA7,0.785516,0.746889,1.37572,0.921177,0.812712,1.42468,0.535555,0.614287,0.736433,1.74777,1.52119,1.95299,1.93319,2.00053,1.69801,0.996539,1.08481,1.1827,1.29242,0.928761,1.5761,1.63739,1.90026,2.2063
ABCA8,0.473315,0.399389,0.242779,0.586583,0.463987,0.336723,0.218997,0.269625,0.195068,1.17654,1.2103,1.04037,3.06822,2.68619,3.03427,0.28895,0.320151,0.275157,0.992115,0.820402,0.754028,1.88259,1.69067,1.61317
ABCA9,0.0330881,0.0311162,0.0251063,0.0615832,0.0634952,0.0372808,0.0464044,0.0682524,0.0357195,0.0582044,0.0632376,0.0602381,0.18897,0.101172,0.11772,0.0691931,0.105941,0.086702,0.0830026,0.0879808,0.0820924,0.219868,0.109491,0.104669
ABCB1,3.18715,3.34991,2.76041,3.26851,3.20102,2.41874,3.11407,3.6704,2.40443,2.28007,2.86866,2.17455,3.41966,2.87034,2.67364,3.9094,4.33355,4.05361,2.73479,3.17322,2.47944,3.48164,3.35306,2.94878
ABCB10,7.8167,6.69739,4.0409,7.26643,6.99626,3.69456,7.67373,6.88952,5.56464,6.72405,5.86498,4.63749,6.8546,6.614,6.71294,6.81594,6.81045,5.54199,7.31751,7.54407,5.83538,7.88889,6.75178,4.75954
ABCB11,0.0190045,0.0114369,0.003569,0.0276281,0.0206463,0.0137073,0.00385515,0.0095402,0.00460552,0,0.0196896,0.0101888,0.0444898,0.0140225,0.0235602,0.0175944,0.0305299,0.00544449,0.00520707,0,0.0105327,0.0249226,0.0136122,0.00417602
ABCB4,0.0265074,0.0431025,0.0503421,0.0216254,0.0929178,0.0421651,0.0328168,0.0402493,0.0623593,0.0482531,0.0600916,0.0144089,0.0883882,0.0990358,0.0905122,0.0678504,0.0565299,0.0288318,0.0351164,0.0161805,0.0276037,0.053694,0.0315622,0.0459476
ABCB5,1.13316,1.01656,0.648494,0.838626,0.66925,0.402649,1.64679,1.53857,0.816229,0.918075,0.840551,0.6216,1.01454,0.860929,1.13202,0.807948,0.534042,0.689492,1.30764,1.03418,0.838502,0.857585,0.643268,0.620205
ABCB6,7.95508,7.59819,11.9459,10.7564,11.5035,18.1887,6.86071,7.64914,8.66838,12.5335,10.6716,13.2014,14.171,13.6606,13.0649,11.3502,10.4596,11.4341,9.33657,8.58926,10.5111,12.0329,12.9936,15.812
ABCB7,11.8115,12.327,9.2435,13.2546,13.1737,10.8083,13.3885,14.7654,11.5664,12.9364,13.9469,11.5465,13.7033,15.8054,13.8646,14.1323,15.099,12.5592,13.7938,14.9014,12.1912,14.8082,14.1832,12.5092
ABCB8,9.54203,8.83095,13.4227,9.76849,9.07251,13.6899,9.58566,9.16548,11.9869,9.73916,7.94103,10.6006,9.50442,9.185,9.65322,9.98382,9.60329,10.7369,9.87092,7.3714,10.864,9.31238,9.65857,12.173
ABCB9,3.63881,3.13743,4.35695,3.60517,3.68861,4.86958,3.54888,3.62902,4.39126,3.81789,3.58132,3.94167,3.45011,3.99272,3.13252,3.61407,4.0904,3.77623,3.19611,2.63357,4.35162,3.17473,4.2073,4.83092
ABCC1,9.01435,8.21888,8.5949,6.41193,6.63526,7.50692,9.51219,9.41274,11.0506,9.2937,7.78545,10.2226,7.96231,6.91961,7.69795,7.24746,7.19205,7.88165,9.65534,9.04416,11.0637,7.83905,8.02465,9.01865
ABCC10,7.8627,6.95663,12.8421,7.98398,7.57771,13.3606,7.36266,7.07893,10.2497,8.7234,6.73277,9.57731,8.89143,8.39649,8.51245,7.85186,7.50077,9.34919,7.68493,6.58071,9.42302,8.35655,8.31034,11.3784
ABCC11,0.0192518,0.0282753,0.0183765,0.0102532,0.0205233,0.0173024,0.0217929,0,0.00705911,0.0326839,0.0404292,0.0217,0.0383361,0.0346858,0.0446573,0.0167446,0.0373793,0.0140983,0.0127593,0.0369706,0.0417019,0.00613046,0.0183035,0.0132774
ABCC2,0.921133,0.953018,0.681964,0.590227,0.580081,0.543353,0.96755,1.20547,0.913742,0.908789,0.932898,0.70117,0.661036,0.667348,0.701602,0.599651,0.630807,0.914778,0.975476,0.985606,0.955347,0.667787,0.722447,0.596377
ABCC3,2.88705,1.81908,2.95026,1.71498,1.64835,2.35117,3.28229,2.77163,3.99544,3.53843,2.27349,3.54328,2.96274,2.06716,1.9284,2.62027,2.28204,2.18155,3.63357,3.00238,4.38416,2.34805,2.13779,3.24672
ABCC4,8.76657,8.95158,5.82726,13.2786,13.4495,8.7311,7.91893,8.04832,6.71068,7.15326,7.22401,5.77795,14.6107,14.8457,12.8084,10.9758,11.5896,9.52588,6.56695,7.43377,5.02102,13.2279,13.218,9.92341
ABCC5,7.56773,7.05172,7.03747,6.23883,6.33438,6.37927,6.371,5.7789,6.25748,7.11386,5.43264,6.74859,8.92315,7.47113,7.53345,5.95612,5.59437,7.31421,6.3755,5.60429,7.09998,6.06897,7.07917,6.96279
ABCC6,0.143044,0.187229,0.132003,0.161223,0.123634,0.178532,0.126657,0.201586,0.0763152,0.409909,0.62543,0.490418,0.446531,0.254607,0.348703,0.158687,0.276286,0.217475,0.347643,0.393553,0.530928,0.262045,0.284405,0.311469
ABCC9,23.4778,22.5112,16.1554,10.9104,10.9016,7.66345,26.6498,28.8207,24.2274,15.1052,15.699,13.202,12.017,9.40739,10.4334,16.3756,15.1134,15.26,19.5982,22.0814,17.2616,13.3133,11.5478,9.86847
ABCD1,5.94009,5.66579,8.38505,6.85039,6.27923,9.68541,6.04387,6.00973,7.0851,8.13624,7.93442,8.92779,9.19054,9.88535,8.14974,7.08083,8.88865,7.50427,8.08399,6.71603,8.365,8.68142,11.3579,12.9689
ABCD2,0.0272017,0.0306158,0.012879,0.101579,0.102302,0.0748206,0.0428966,0.0539214,0.0344736,0.107769,0.19235,0.0629205,0.354728,0.322377,0.21833,0.133153,0.086218,0.137795,0.189766,0.334079,0.176473,0.209057,0.201896,0.111656
ABCD3,22.1875,23.1992,14.3231,24.7473,26.0458,16.1885,19.7624,21.2767,15.744,26.3751,27.7339,20.3483,31.9215,29.3266,27.4671,22.8569,22.7211,18.7589,26.8444,29.2849,19.4436,29.9311,25.4927,19.3118
ABCD4,7.99136,7.65292,7.44823,8.13106,7.08516,7.59561,8.14695,8.37513,8.97155,8.23147,8.03224,9.62194,8.59151,7.68872,8.76516,9.34639,8.93732,9.8829,8.89505,7.8551,9.3009,8.91798,8.29345,9.1932
ABCE1,48.371,51.2109,25.3701,48.5395,50.3545,25.5939,52.0926,53.6675,36.1274,33.5651,38.5117,25.2781,34.2627,36.0029,36.6457,48.156,46.0663,37.7111,38.0578,42.6705,28.1641,41.5406,36.6074,22.267
ABCF1,43.2511,48.8534,55.0424,44.8669,51.4337,54.7855,47.7299,54.0098,52.9832,41.1637,43.5123,49.2698,41.7343,43.2561,43.2689,44.7856,48.0554,54.5814,41.3768,41.8469,47.284,39.8544,49.2803,46.4659
ABCF2,39.8842,43.9772,47.3349,42.7698,45.9258,48.241,43.6908,47.0161,47.5422,36.077,37.3675,38.5091,40.6723,45.2276,41.9807,42.3153,46.5518,48.4017,34.7483,34.6886,39.9237,40.9524,44.5199,43.2876
ABCF3,23.302,27.1953,36.2528,23.6107,28.9677,37.9969,25.2515,29.7432,31.6514,24.8408,26.697,30.1667,25.382,29.6557,24.7136,23.658,26.1464,28.7921,25.4832,23.4432,28.2423,23.8953,30.5169,32.0055
ABCG1,1.74242,1.80144,1.73023,2.45506,2.36513,2.22813,1.97034,2.01128,1.78057,6.91461,6.01153,5.57483,6.22405,6.32149,5.21925,2.46513,2.14781,2.16569,5.59178,4.96024,4.88998,5.05642,5.64072,5.59879
ABCG2,1.31433,1.45481,0.832772,0.94723,0.994531,0.60114,0.895668,0.923179,0.694692,0.984964,0.977351,0.672314,0.84953,0.767547,0.775618,1.05776,1.04083,0.784429,0.727455,0.873537,0.553659,0.875388,0.630607,0.497931
ABHD1,0.165041,0.252513,0.434678,0.282081,0.160582,0.560216,0.289266,0.330436,0.426133,0.329209,0.292945,0.184793,0.583076,0.305586,0.391212,0.111225,0.163639,0.212045,0.131462,0.189642,0.311104,0.364481,0.140102,0.125349
ABHD10,20.322,21.2798,9.55176,19.6792,19.2496,9.65641,17.1302,16.2927,12.053,19.147,20.2792,12.7818,17.7542,16.359,16.4381,19.0844,17.7504,13.6568,16.7023,20.1934,12.4166,17.09,13.7364,9.0195
ABHD11,12.4955,15.7812,19.8753,14.5339,15.9638,21.56,11.9703,14.3453,13.5267,11.1635,12.0188,10.664,9.30882,13.4227,8.38608,12.0733,13.6392,13.3119,9.95333,9.28157,9.98788,9.62809,12.535,12.2081
ABHD12,20.7754,21.1657,26.2715,27.9036,28.7615,33.2397,20.6731,20.0566,22.4083,18.4095,17.1883,17.9007,32.9961,31.0045,27.4185,23.9514,24.6274,24.1372,15.2907,13.3491,15.8757,28.6569,30.7121,33.8338
ABHD12B,0.0916661,0.0452203,0.14496,0.107757,0.0640385,0.0617497,0.0305484,0.0906882,0.0348134,0.11749,0.190784,0.11536,0.0988563,0.142028,0.122365,0.0676997,0.0390053,0.133386,0.101923,0.0665102,0.115906,0.1558,0.102085,0.11596
ABHD13,5.56424,5.86955,2.83169,5.17005,5.01364,2.66119,5.28146,5.40937,3.83337,5.90561,6.29608,4.23919,5.72306,5.30123,6.3706,6.5783,5.95423,4.51224,6.57876,7.55938,4.74673,6.91466,5.9853,3.65654
ABHD14A,11.0608,11.9568,18.6414,12.287,11.5613,21.2306,8.59794,9.93723,13.0392,11.7645,11.7386,14.5531,13.0672,13.9903,13.3128,11.5144,14.2102,13.4889,10.7016,9.54103,12.2618,11.2738,14.196,19.9465
ABHD14A-ACY1,0.020163,0.036206,3.38228,0.0121817,3.13461,3.8103,0.379073,3.08348,3.26189,4.81916,1.65622,4.29026,1.05231,1.80139,4.05248,1.07151,0.894049,0.234903,0.0145204,3.29563,0.617132,3.49905,0,0.713575
ABHD14B,12.4394,11.0074,14.7317,13.2236,11.7397,15.3317,12.7304,10.9634,13.7995,13.2245,10.471,13.1026,13.0759,13.5597,13.0397,11.7711,11.2485,10.3654,10.557,9.31848,13.1782,11.9836,11.9475,14.8196
ABHD15,5.40535,5.43562,5.99703,7.31241,7.25237,7.47352,4.94523,5.24314,4.93344,7.09004,6.61651,6.98629,8.56436,8.77166,9.2922,7.70101,7.31725,8.2,6.5688,5.91009,6.44481,8.50354,8.34523,9.13742
ABHD16A,32.6204,30.857,45.4202,32.8351,34.371,48.6189,41.7754,40.1644,47.8034,42.7876,38.0176,48.7893,40.7106,42.5562,45.5954,41.8358,42.5556,46.7912,45.5748,41.2123,57.9345,43.6483,48.0475,58.7212
ABHD16B,7.40576,10.1664,16.0969,6.75854,8.50692,12.4828,10.3329,8.73774,13.232,7.99386,6.48711,6.71688,5.65941,7.76291,4.14593,9.12367,9.98052,7.67504,6.77276,6.23289,6.33359,7.90245,8.22202,9.73298
ABHD2,21.0707,19.1947,15.9421,17.8542,16.9605,15.8451,18.9767,17.477,18.4639,16.2954,13.6973,13.7004,15.1683,13.1146,13.7534,17.2449,16.1144,16.4238,15.5248,14.4376,14.9944,14.6106,13.4979,12.0416
ABHD3,5.18332,5.22419,3.16692,5.14561,5.09419,3.1647,4.73359,4.53175,3.50684,5.86672,6.27433,4.37275,5.76555,6.01791,5.96726,5.97929,6.01012,4.69682,6.5491,6.30696,4.83763,7.25499,6.82284,4.26701
ABHD4,6.15541,5.77139,6.38311,6.02752,5.35799,7.06431,6.45256,6.76942,7.13004,8.2067,6.77963,10.1886,9.40981,9.06928,9.93315,7.30149,6.10063,6.89737,8.47381,7.53373,9.73965,8.55501,8.39853,10.5738
ABHD5,8.84062,9.84202,5.12155,10.3412,10.3335,5.76526,7.76494,8.42794,6.24713,8.81197,10.0201,6.94617,9.25974,8.92266,9.55384,10.9363,11.1303,8.89352,9.79987,11.4936,7.74482,10.9467,9.43598,7.25975
ABHD6,4.82134,5.05706,5.13834,5.08728,5.14111,5.51761,4.97215,4.74018,5.48064,5.9266,5.84148,6.49563,5.97273,6.76968,6.07242,5.3358,5.6472,5.24015,6.3955,6.20262,6.80099,5.99418,5.87376,6.24785
ABHD8,6.31272,8.3224,12.8095,7.27172,7.67779,12.5993,7.20725,6.13843,9.39911,7.88391,6.78799,8.86595,7.25226,7.95397,7.24377,7.87726,8.32151,7.87127,8.87515,6.50819,7.56655,8.62035,9.4476,12.7105
ABI1,26.7401,28.8604,17.8315,25.9188,24.8941,17.3409,27.3002,28.3495,23.8155,25.7498,27.6396,21.5957,26.0159,24.2305,25.9793,29.8614,29.481,26.8173,28.19,29.8617,23.6935,28.3026,25.6921,19.4442
ABI2,9.42119,9.0436,5.73053,9.19469,8.48364,5.38233,7.58093,7.43695,6.36163,8.34862,8.09395,6.80884,9.24754,7.32844,8.81023,8.89035,8.17042,7.75765,7.58437,7.56954,6.64285,8.22536,6.91321,5.33107
ABI3BP,4.36061,4.91915,2.44025,3.33756,4.19873,2.91957,3.72109,4.44007,3.28565,1.64292,1.54416,1.10905,2.05643,2.01251,2.2046,2.80798,3.46588,3.06502,1.87334,2.38505,1.56253,1.71425,2.04923,1.67592
ABL1,41.7135,42.4284,52.1079,36.8998,38.2884,46.2815,45.7729,47.6956,50.8234,54.1191,48.8783,58.6572,48.9099,50.2673,47.5902,39.2579,41.3592,43.5379,57.4773,52.4368,62.5809,46.3245,54.5117,56.8634
ABL2,57.6705,58.0228,47.0228,32.8408,32.3219,29.0804,55.4459,61.1012,57.2952,45.8926,47.0495,42.3367,28.9408,25.7389,27.3729,34.9577,35.6763,35.9409,49.5352,55.5603,49.8096,30.7736,30.0717,24.7701
ABLIM1,8.39691,8.60652,6.36608,8.61446,8.75575,7.60823,8.00793,8.08218,7.4846,8.4336,7.61786,7.82247,10.3134,9.32492,9.82543,8.29382,8.54982,8.10602,7.91993,8.73433,7.24979,8.71075,9.03094,8.07611
ABLIM3,31.326,31.5556,34.9381,43.6784,45.2805,52.813,42.3237,43.1913,48.9441,21.9004,20.8175,26.2262,35.6928,35.6821,38.9276,47.0063,49.5226,56.749,34.2466,31.944,40.0902,45.9783,50.7332,55.5943
ABR,42.9601,43.8768,58.7638,40.1755,42.4607,57.5601,41.0787,42.4555,52.615,31.4653,28.8102,36.6823,30.864,32.0397,33.4392,40.3904,40.5445,47.8628,30.017,28.1536,36.9684,33.3236,38.9634,41.0708
ABRACL,48.158,52.9601,27.6378,52.5583,49.9034,24.408,61.8028,62.183,44.5613,39.2148,34.2251,25.61,39.5532,37.0595,33.9109,53.0763,51.957,36.7984,46.4113,47.7913,31.499,45.4389,39.761,25.7519
ABT1,15.693,16.7814,12.0746,17.0091,17.5153,13.0402,16.1713,16.5066,14.51,12.9372,13.2506,11.5513,15.2042,14.0451,13.8353,15.5922,16.0887,14.587,14.5884,12.4788,14.2136,14.3295,12.7574,13.1598
ABTB1,2.50084,2.5779,3.93099,3.10865,2.34793,3.96967,3.11823,2.41432,3.74354,4.19909,2.98758,3.98449,3.76238,4.34252,3.82779,2.89685,2.43877,2.6748,4.00705,3.05204,3.77699,3.95952,4.91961,5.77948
ABTB2,4.42348,4.41277,5.69789,3.71598,4.3784,4.94846,4.64398,5.56159,6.07678,10.0812,8.76455,12.0929,7.32519,7.79812,7.45487,6.51861,7.27438,7.61217,10.9449,9.87545,12.466,9.58581,10.6983,12.3951
ACAA1,18.2576,18.1624,25.0029,19.0164,21.2954,28.4629,16.8375,19.4341,18.9252,19.0514,19.3233,23.4092,21.947,24.1262,20.3587,17.4803,18.8465,21.799,18.7977,15.384,21.4481,18.1615,25.1721,26.6551
ACAA2,11.9823,12.3522,12.144,15.2268,15.88,14.5901,10.4838,10.9716,10.5837,11.7433,12.9449,12.711,13.9873,14.4678,13.6196,14.5012,14.6927,14.6612,11.0033,11.2969,12.1159,12.583,13.379,12.9025
ACACA,14.6978,14.8282,12.0567,14.4465,15.2537,13.491,12.247,12.5561,12.2253,12.496,10.86,12.2264,14.8674,13.4893,15.5356,13.3934,12.9081,13.648,10.7016,11.5572,11.165,12.9768,12.9931,12.234
ACACB,1.44394,1.68039,1.55026,1.91679,1.89494,2.13107,1.26938,1.3077,1.30974,2.63153,2.52208,3.31977,3.1774,3.07955,3.15036,1.4613,1.39332,1.61528,2.48249,2.44209,2.77771,2.65205,3.00726,3.00449
ACAD10,2.22246,2.40092,2.32163,2.21913,2.4402,2.82154,2.48071,2.58951,2.7829,3.10081,3.11979,3.6686,2.93029,3.06515,2.93133,2.78617,2.73086,3.04361,3.13997,3.03373,3.35772,3.13222,3.07991,3.673
ACAD11,2.9951,2.74844,2.2787,3.06288,3.01981,2.60061,2.91324,2.97142,2.70542,4.24393,3.97128,3.822,3.84547,3.91721,3.9043,3.23547,3.52549,3.37982,4.31186,4.20059,3.93079,3.5597,3.32639,3.41837
ACAD8,10.4898,10.8386,13.3513,11.2991,11.4634,12.5582,12.4698,12.5348,13.7575,19.9869,19.6131,21.5915,16.5167,17.6117,17.5215,12.0835,12.9832,13.1602,18.7033,19.0165,20.9122,15.7821,18.1654,17.6267
ACAD9,19.3816,21.4899,24.3574,20.0508,24.1569,26.5893,19.0268,21.1961,22.0811,17.3608,18.6631,18.3715,19.2839,19.3629,18.8038,19.4162,22.3387,21.206,15.7367,16.3297,16.8812,17.8022,19.7068,21.2797
ACADL,0.185461,0.14924,0.111217,0.254115,0.309953,0.242181,0.125089,0.124834,0.110723,0.169046,0.204522,0.171097,0.35452,0.376038,0.221553,0.180796,0.179901,0.215115,0.183393,0.206392,0.128544,0.37374,0.243678,0.250454
ACADM,18.1787,21.1622,11.5075,16.7746,17.3545,10.5978,18.1061,18.0498,13.4321,16.9359,19.4682,13.2551,18.3569,17.3795,14.492,15.4752,14.9609,11.7768,16.6482,17.6298,12.6105,15.5647,16.6007,10.1719
ACADS,2.66505,2.85068,4.10421,3.12974,2.88205,5.40042,2.4472,3.04617,2.60967,2.55079,2.54547,3.37464,2.81423,3.44283,3.3632,3.22505,3.43209,4.44956,2.47069,2.47816,2.95144,2.89918,2.98047,4.8694
